<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,23/10/18,10:01,111650,111650,110500,110630,9573
SPFB.RTS-12.18,1,23/10/18,10:02,110630,110700,110540,110640,4070
SPFB.RTS-12.18,1,23/10/18,10:03,110650,110870,110630,110840,2852
SPFB.RTS-12.18,1,23/10/18,10:04,110850,110850,110670,110670,2127
SPFB.RTS-12.18,1,23/10/18,10:05,110680,110820,110650,110660,1877
SPFB.RTS-12.18,1,23/10/18,10:06,110660,110790,110640,110780,2149
SPFB.RTS-12.18,1,23/10/18,10:07,110780,110830,110710,110740,1143
SPFB.RTS-12.18,1,23/10/18,10:08,110740,110840,110710,110800,1086
SPFB.RTS-12.18,1,23/10/18,10:09,110810,110850,110500,110600,5267
SPFB.RTS-12.18,1,23/10/18,10:10,110590,110630,110540,110580,907
SPFB.RTS-12.18,1,23/10/18,10:11,110580,110650,110540,110580,1036
SPFB.RTS-12.18,1,23/10/18,10:12,110590,110710,110570,110710,979
SPFB.RTS-12.18,1,23/10/18,10:13,110710,110790,110680,110720,1885
SPFB.RTS-12.18,1,23/10/18,10:14,110720,110870,110700,110850,1522
SPFB.RTS-12.18,1,23/10/18,10:15,110840,110920,110820,110880,1186
SPFB.RTS-12.18,1,23/10/18,10:16,110890,110900,110820,110900,997
SPFB.RTS-12.18,1,23/10/18,10:17,110910,110930,110820,110840,1146
SPFB.RTS-12.18,1,23/10/18,10:18,110850,110900,110800,110870,615
SPFB.RTS-12.18,1,23/10/18,10:19,110870,110920,110810,110840,1015
SPFB.RTS-12.18,1,23/10/18,10:20,110840,110900,110830,110900,313
SPFB.RTS-12.18,1,23/10/18,10:21,110900,110920,110810,110890,1067
SPFB.RTS-12.18,1,23/10/18,10:22,110890,110890,110800,110860,673
SPFB.RTS-12.18,1,23/10/18,10:23,110870,110910,110800,110870,1442
SPFB.RTS-12.18,1,23/10/18,10:24,110870,110960,110750,110950,1778
SPFB.RTS-12.18,1,23/10/18,10:25,110960,111080,110930,111040,2111
SPFB.RTS-12.18,1,23/10/18,10:26,111030,111050,110890,110910,1139
SPFB.RTS-12.18,1,23/10/18,10:27,110900,111060,110900,111060,988
SPFB.RTS-12.18,1,23/10/18,10:28,111060,111090,110990,111040,974
SPFB.RTS-12.18,1,23/10/18,10:29,111040,111070,110980,111020,671
SPFB.RTS-12.18,1,23/10/18,10:30,111040,111040,110980,111000,549
SPFB.RTS-12.18,1,23/10/18,10:31,110990,111170,110970,111130,1527
SPFB.RTS-12.18,1,23/10/18,10:32,111120,111170,111080,111120,1243
SPFB.RTS-12.18,1,23/10/18,10:33,111110,111170,111080,111140,553
SPFB.RTS-12.18,1,23/10/18,10:34,111140,111210,111140,111200,1201
SPFB.RTS-12.18,1,23/10/18,10:35,111200,111220,111150,111170,946
SPFB.RTS-12.18,1,23/10/18,10:36,111180,111200,111130,111170,897
SPFB.RTS-12.18,1,23/10/18,10:37,111180,111200,111140,111170,215
SPFB.RTS-12.18,1,23/10/18,10:38,111160,111200,111120,111140,762
SPFB.RTS-12.18,1,23/10/18,10:39,111140,111180,111120,111180,386
SPFB.RTS-12.18,1,23/10/18,10:40,111170,111170,111090,111090,963
SPFB.RTS-12.18,1,23/10/18,10:41,111090,111110,111060,111080,677
SPFB.RTS-12.18,1,23/10/18,10:42,111070,111100,111050,111100,875
SPFB.RTS-12.18,1,23/10/18,10:43,111090,111150,111060,111090,606
SPFB.RTS-12.18,1,23/10/18,10:44,111080,111120,111020,111040,530
SPFB.RTS-12.18,1,23/10/18,10:45,111030,111100,111020,111020,585
SPFB.RTS-12.18,1,23/10/18,10:46,111020,111040,110870,110910,1596
SPFB.RTS-12.18,1,23/10/18,10:47,110900,110970,110880,110920,755
SPFB.RTS-12.18,1,23/10/18,10:48,110930,110960,110870,110940,1268
SPFB.RTS-12.18,1,23/10/18,10:49,110940,111010,110930,110940,675
SPFB.RTS-12.18,1,23/10/18,10:50,110930,110930,110870,110870,640
SPFB.RTS-12.18,1,23/10/18,10:51,110890,110900,110850,110880,497
SPFB.RTS-12.18,1,23/10/18,10:52,110880,110920,110850,110870,624
SPFB.RTS-12.18,1,23/10/18,10:53,110870,111000,110870,110980,993
SPFB.RTS-12.18,1,23/10/18,10:54,110980,110980,110920,110930,246
SPFB.RTS-12.18,1,23/10/18,10:55,110950,110990,110930,110930,223
SPFB.RTS-12.18,1,23/10/18,10:56,110920,110930,110830,110870,786
SPFB.RTS-12.18,1,23/10/18,10:57,110880,110910,110820,110830,529
SPFB.RTS-12.18,1,23/10/18,10:58,110830,110850,110680,110690,2142
SPFB.RTS-12.18,1,23/10/18,10:59,110690,110760,110690,110730,1018
SPFB.RTS-12.18,1,23/10/18,11:00,110740,110740,110670,110670,663
SPFB.RTS-12.18,1,23/10/18,11:01,110670,110730,110620,110730,1249
SPFB.RTS-12.18,1,23/10/18,11:02,110730,110760,110710,110710,511
SPFB.RTS-12.18,1,23/10/18,11:03,110710,110780,110690,110730,746
SPFB.RTS-12.18,1,23/10/18,11:04,110730,110750,110690,110720,286
SPFB.RTS-12.18,1,23/10/18,11:05,110710,110740,110670,110720,344
SPFB.RTS-12.18,1,23/10/18,11:06,110720,110720,110670,110690,382
SPFB.RTS-12.18,1,23/10/18,11:07,110680,110730,110630,110690,807
SPFB.RTS-12.18,1,23/10/18,11:08,110700,110850,110700,110840,1277
SPFB.RTS-12.18,1,23/10/18,11:09,110850,110890,110780,110810,1393
SPFB.RTS-12.18,1,23/10/18,11:10,110800,110840,110750,110800,279
SPFB.RTS-12.18,1,23/10/18,11:11,110790,110800,110760,110790,548
SPFB.RTS-12.18,1,23/10/18,11:12,110790,110870,110720,110830,559
SPFB.RTS-12.18,1,23/10/18,11:13,110850,110850,110780,110800,305
SPFB.RTS-12.18,1,23/10/18,11:14,110790,110800,110660,110680,766
SPFB.RTS-12.18,1,23/10/18,11:15,110680,110710,110650,110680,536
SPFB.RTS-12.18,1,23/10/18,11:16,110680,110720,110590,110640,1845
SPFB.RTS-12.18,1,23/10/18,11:17,110640,110680,110610,110650,347
SPFB.RTS-12.18,1,23/10/18,11:18,110640,110660,110580,110620,644
SPFB.RTS-12.18,1,23/10/18,11:19,110620,110620,110560,110570,938
SPFB.RTS-12.18,1,23/10/18,11:20,110570,110610,110410,110430,3569
SPFB.RTS-12.18,1,23/10/18,11:21,110430,110560,110380,110560,2714
